method_label,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,static_g_weight,ann_excess_vs_smooth
Static G/D 78% G,2233,2017-06-28,2026-05-15,3.865757252649023,0.19549223045792297,0.21468208648717363,0.9396164156231477,1.142884585652884,-0.3203722768041649,0.6102033309749276,0.0,0.7800000000000001,4.865757252649023,0.78,0.003093984919374737
Static G/D 79% G,2233,2017-06-28,2026-05-15,3.8960036624354393,0.19632857936749937,0.2155537075277837,0.939932166314062,1.1444431545631921,-0.31981579863593435,0.6138801779176396,0.0,0.7899999999999999,4.896003662435439,0.79,0.003930333828951138
Static G/D 80% G,2233,2017-06-28,2026-05-15,3.92633965602693,0.1971628139038526,0.21643223142524665,0.940215385682712,1.1456210387180135,-0.31925911028861864,0.6175636263773717,0.0,0.7999999999999999,4.92633965602693,0.8,0.004764568365304367
Static G/D 81% G,2233,2017-06-28,2026-05-15,3.9567645687940027,0.19799492872872593,0.21731757446350472,0.9404668035627356,1.1472945958162601,-0.31870221195656456,0.6212537011061297,0.0,0.8100000000000002,4.956764568794003,0.81,0.005596683190177698
Static G/D 82% G,2233,2017-06-28,2026-05-15,3.9872777265553188,0.19882491851357642,0.218209653640579,0.940687141284054,1.1487979929404297,-0.3181451038344839,0.624950427076243,0.0,0.8200000000000001,4.987277726555319,0.82,0.0064266729750281915
Static G/D 83% G,2233,2017-06-28,2026-05-15,4.017878445572245,0.1996527779396433,0.2191083866798193,0.9408771114500116,1.150347930590429,-0.31758778611745186,0.6286538294826198,0.0,0.83,5.017878445572245,0.83,0.007254532401095082
Static G/D 84% G,2233,2017-06-28,2026-05-15,4.048566032543337,0.20047850169798953,0.2200136920402367,0.9410374177346978,1.1517548889222342,-0.3170302590009083,0.6323639337449336,0.0,0.8399999999999999,5.048566032543337,0.84,0.008080256159441301
Static G/D 85% G,2233,2017-06-28,2026-05-15,4.079339784600413,0.20130208448955966,0.2209254889259504,0.941168754699714,1.1530213320581222,-0.3164725226806586,0.636080765509891,0.0,0.8499999999999999,5.079339784600413,0.85,0.008903838951011434
Static G/D 86% G,2233,2017-06-28,2026-05-15,4.1101989893053945,0.20212352102523568,0.22184369729477446,0.941271807629676,1.1541420050211797,-0.31591457735287176,0.639804350653521,0.0,0.8600000000000001,5.1101989893053945,0.86,0.009725275486687446
Static G/D 87% G,2233,2017-06-28,2026-05-15,4.141142924647996,0.202942806025888,0.22276823786597585,0.9413472523857151,1.155314803578491,-0.3164596866881316,0.6412911804020284,0.0,0.87,5.141142924647996,0.87,0.01054456048733976
Static G/D 88% G,2233,2017-06-28,2026-05-15,4.1721708590443844,0.20375993422242833,0.22369903212723033,0.94139575527627,1.1563686672560851,-0.31856347695203424,0.6396211397865558,0.0,0.88,5.1721708590443844,0.88,0.0113616886838801
Static G/D 89% G,2233,2017-06-28,2026-05-15,4.203282051336985,0.204574900355867,0.2246360023408057,0.9414179729444471,1.1575603180294256,-0.3206627254044555,0.6379753059786865,0.0,0.8899999999999999,5.203282051336985,0.89,0.012176654817318777
Static G/D 90% G,2233,2017-06-28,2026-05-15,4.234475750794832,0.20538769917736044,0.22557907154899917,0.941414552271254,1.158616356820627,-0.322757434204072,0.6363531166488905,0.0,0.9000000000000001,5.234475750794832,0.9,0.01298945363881221
Static G/D 91% G,2233,2017-06-28,2026-05-15,4.265751197115434,0.20619832544827044,0.2265281635788576,0.9413861302940001,1.159615596764366,-0.3248476055411501,0.6347540259832706,0.0,0.9099999999999999,5.265751197115434,0.91,0.013800079909722207
Static G/D 92% G,2233,2017-06-28,2026-05-15,4.297107620427102,0.20700677394021394,0.22748320304620745,0.9413333341391854,1.1604778955228674,-0.3269332416374118,0.63317750407833,0.0,0.92,5.297107620427102,0.92,0.01460852840166571
Static G/D 93% G,2233,2017-06-28,2026-05-15,4.328544241292647,0.20781303943511897,0.22844411535902076,0.9412567809692005,1.1615191315435722,-0.3290143447459256,0.6316230363621325,0.0,0.9299999999999998,5.328544241292647,0.93,0.015414793896570744
Static G/D 94% G,2233,2017-06-28,2026-05-15,4.360060270713608,0.20861711672527194,0.22941082672014482,0.9411570779421715,1.1625796756896067,-0.3310909171509657,0.6300901230405844,0.0,0.9399999999999998,5.360060270713608,0.94,0.016218871186723716
Static G/D 95% G,2233,2017-06-28,2026-05-15,4.391654910136171,0.20941900061338115,0.2303832641294203,0.941034822184311,1.1630466928337568,-0.33316296116789834,0.6285782785675383,0.0,0.9500000000000002,5.391654910136171,0.95,0.017020755074832916
Static G/D 96% G,2233,2017-06-28,2026-05-15,4.423327351457178,0.21021868591261783,0.2313613553852141,0.9408906007741297,1.1636562921279672,-0.3352304791430586,0.6270870311374869,0.0,0.96,5.423327351457178,0.96,0.0178204403740696
Static G/D 97% G,2233,2017-06-28,2026-05-15,4.455076777031921,0.2110161674466775,0.2323450290853919,0.9407249907378974,1.1641824506730132,-0.3372934734536275,0.6256159221998373,0.0,0.9699999999999999,5.455076777031921,0.97,0.018617921908129276
Static G/D 98% G,2233,2017-06-28,2026-05-15,4.486902359682462,0.21181144004982833,0.23333421462775464,0.9405385590557463,1.1651594987314526,-0.33935194650749234,0.6241645059936377,0.0,0.9800000000000003,5.486902359682462,0.98,0.019413194511280096
Static G/D 99% G,2233,2017-06-28,2026-05-15,4.518803262707417,0.21260449856697106,0.23432884220996292,0.9403318626778284,1.1659089159017502,-0.3414059007431466,0.622732349101728,0.0,0.99,5.518803262707417,0.99,0.020206253028422827
Static G/D 100% G,2233,2017-06-28,2026-05-15,4.550778639891888,0.21339533785367792,0.2353288428289731,0.9401054485499574,1.1666062690287695,-0.3434553386295507,0.6213190300234207,0.0,1.0,5.550778639891888,1.0,0.020997092315129695
