date,WF Expanding,WF Rolling,Fixed Parameter,50/50 G-D,100% G,100% D,SPY
2023-01-13,1.9247004013184823,1.9021381836710796,1.8057758219703717,1.7324088997957472,1.7424850415372732,1.674576011114896,1.5887322361204252
2023-01-17,1.9242848535762391,1.9021660093898618,1.8040647746887737,1.7297904254023733,1.7478531460846685,1.6643549910400315,1.585821885974719
2023-01-18,1.896361661521582,1.8747193066184602,1.7772684919913806,1.703616690181987,1.7254206001393735,1.6353486506414576,1.5607849011741288
2023-01-19,1.8809198488890033,1.859239386952399,1.7633295667619067,1.6906492601672303,1.7090347021966006,1.6259835697967273,1.549422575270045
2023-01-20,1.9204086235507265,1.8991099514930967,1.7984627383331773,1.7229568423765114,1.7529821355853104,1.6463154743375286,1.5782868698483277
2023-01-23,1.9504637937521034,1.9297538092179587,1.824809327415399,1.7469119187919429,1.7878965430370264,1.6593045538535893,1.5972240796870814
2023-01-24,1.947824080751797,1.9270431131158772,1.8224754197440403,1.7447611219989383,1.7850229647487725,1.657885584665745,1.5955097638521025
2023-01-25,1.946263353927545,1.9250799770621263,1.821653881172613,1.744378823422836,1.781354394617598,1.6605663365398755,1.596107781005387
2023-01-26,1.9724588819493072,1.951856513875179,1.8448409502169094,1.7657458456953061,1.8099419649470567,1.6745979938776814,1.6136496174878638
2023-01-27,1.9794377839748916,1.9598563754906555,1.8497668024526577,1.769499974739811,1.821541885179222,1.670986174907504,1.6173573238365628
2023-01-30,1.9490193173565706,1.9282771994815813,1.8233521883411203,1.7453561553420018,1.7876892788513445,1.6564414559088174,1.5970646084498101
2023-01-31,1.9768666614734667,1.9561484219198204,1.8489611711932201,1.7696206839388053,1.8145246114459255,1.677633121575972,1.6205467486526928
2023-02-01,2.006233089656522,1.9880583905288467,1.8727068321838614,1.790405701636317,1.8508745360628946,1.6834346724767029,1.6377696426523085
2023-02-02,2.0466661830066766,2.0324862350544874,1.9048406311437454,1.8183421209474093,1.901196384878195,1.6901998180252746,1.66161059314633
2023-02-03,2.0251602171065928,2.010126914255056,1.8861088967602309,1.8010632106225815,1.8785052459089933,1.6782502129332928,1.64394915323486
2023-02-06,2.008065415007994,1.9923490132481572,1.8712599662417593,1.7873935517306747,1.8603107266978114,1.6690300621490506,1.6339024650663376
2023-02-07,2.042720954123728,2.028765575464222,1.9005059265689852,1.813862841420021,1.8993424699509855,1.6834445553691224,1.6552716113265071
2023-02-08,2.01747858036403,2.0030239557612255,1.8781863370350473,1.7931391898024833,1.8730012102852598,1.6683244020532746,1.6371716254990245
2023-02-09,2.0021082919382853,1.9878214770311973,1.8634960999469272,1.7788951755052398,1.8600052099819138,1.6533951661100619,1.6229786850741081
2023-02-10,2.0037151591358304,1.9886978986084851,1.8679599041868196,1.7848270405901103,1.8519752432342975,1.67155991225691,1.6267661270393634
2023-02-13,2.0295181334940278,2.0142323900658963,1.8910475635410666,1.806252337227441,1.8798384305403366,1.686542341519884,1.6458628081237063
2023-02-14,2.0331505805639756,2.0173491563661132,1.8933716930614732,1.807646726081118,1.8889919009557126,1.6809340354938096,1.6451053197289915
2023-02-15,2.039904749401875,2.023373835576817,1.8989827061094358,1.8123574624081904,1.9002566119053717,1.6796710902903649,1.6504476062961133
2023-02-16,2.0116417113245872,1.9964696624198255,1.873530202285546,1.7889678036721919,1.8666499037424635,1.6660221571357359,1.6277229544837868
2023-02-17,1.9980835728309212,1.9837888573194,1.8612190486043942,1.7776711717918237,1.850033601382838,1.6598119809727585,1.6236564378439489
2023-02-21,1.9576202218319234,1.9447686060894385,1.8236858741695632,1.7423345772236944,1.80752899063065,1.631958667957768,1.591084436921126
2023-02-22,1.954630098510509,1.941120692878021,1.8210215743518456,1.7395996693469915,1.8071780262482815,1.6271522361711914,1.5888917073576976
2023-02-23,1.9703239762861515,1.9550196412925849,1.8360231041246378,1.7534834126835572,1.8276430773987355,1.6346984545232979,1.597343683120234
2023-02-24,1.9480549625743968,1.9355750179533662,1.8145664028598212,1.7336515440699176,1.7977235817351682,1.6244825180379296,1.5802802603578894
2023-02-27,1.9549805499199064,1.941217133648789,1.8215136544003696,1.7400480538997556,1.808212697631557,1.6269916417309322,1.5856624147332892
